neurotransmitter,neuron_class,bodyId_pre,bodyId_post,bbox_xmin,bbox_xmax,bbox_ymin,bbox_ymax,bbox_zmin,bbox_zmax,x_pre,y_pre,z_pre,x_post,y_post,z_post,any_out_of_range
glutamate,neuron1,154692,26448074226,18874,19004,27144,27274,33288,33418,18939,27209,33353,18966,27196,33335,False
glutamate,neuron1,154692,12360,17212,17342,29218,29348,30609,30739,17277,29283,30674,17275,29323,30662,False
glutamate,neuron1,154692,29769623060,16212,16342,32834,32964,37554,37684,16277,32899,37619,16301,32920,37595,False
glutamate,neuron1,154692,13243,19575,19705,25955,26085,34433,34563,19640,26020,34498,19638,26032,34527,False
glutamate,neuron1,154692,30151561468,14632,14762,28502,28632,38110,38240,14697,28567,38175,14708,28555,38191,False
glutamate,neuron1,154692,26500819472,14526,14656,34619,34749,33249,33379,14591,34684,33314,14611,34698,33317,False
glutamate,neuron1,154692,27672131895,19668,19798,25866,25996,34403,34533,19733,25931,34468,19719,25945,34455,False
glutamate,neuron1,154692,29369758741,14659,14789,34222,34352,36412,36542,14724,34287,36477,14753,34277,36474,False
glutamate,neuron1,154692,31372164904,16491,16621,26862,26992,39141,39271,16556,26927,39206,16562,26943,39199,False
glutamate,neuron1,154692,17900,20136,20266,26229,26359,34944,35074,20201,26294,35009,20208,26275,35025,False
glutamate,neuron1,154692,27672133922,19575,19705,25955,26085,34433,34563,19640,26020,34498,19630,26034,34491,False
glutamate,neuron1,154692,24006,18271,18401,29496,29626,37627,37757,18336,29561,37692,18354,29555,37694,False
glutamate,neuron1,154692,17900,21256,21386,25711,25841,35359,35489,21321,25776,35424,21321,25787,35434,False
glutamate,neuron1,154692,28135159524,14569,14699,33782,33912,35057,35187,14634,33847,35122,14647,33868,35099,False
glutamate,neuron1,154692,34266150005,20247,20377,30089,30219,42817,42947,20312,30154,42882,20311,30172,42893,False
glutamate,neuron1,154692,28899501869,17717,17847,25633,25763,35984,36114,17782,25698,36049,17777,25675,36035,False
glutamate,neuron1,154692,11015,15062,15192,31746,31876,39168,39298,15127,31811,39233,15118,31784,39242,False
glutamate,neuron1,154692,29730901776,18626,18756,26793,26923,36914,37044,18691,26858,36979,18723,26839,37003,False
glutamate,neuron1,154692,30958002245,13309,13439,26291,26421,38886,39016,13374,26356,38951,13374,26371,38927,False
glutamate,neuron1,154692,32627996237,16788,16918,30395,30525,40849,40979,16853,30460,40914,16831,30449,40939,False
glutamate,neuron1,154692,11141,16179,16309,26216,26346,38748,38878,16244,26281,38813,16218,26284,38817,False
glutamate,neuron1,154692,30183510269,16224,16354,32924,33054,37394,37524,16289,32989,37459,16305,32983,37464,False
glutamate,neuron1,154692,28809,18422,18552,29635,29765,41801,41931,18487,29700,41866,18488,29719,41870,False
glutamate,neuron2,12596,30181234107,32445,32575,32434,32564,37660,37790,32510,32499,37725,32518,32503,37712,False
glutamate,neuron2,12596,26088025499,29247,29377,34124,34254,32723,32853,29312,34189,32788,29316,34197,32766,False
glutamate,neuron2,12596,27330096474,34309,34439,35708,35838,34271,34401,34374,35773,34336,34376,35789,34312,False
glutamate,neuron2,12596,14828,31963,32093,35470,35600,39724,39854,32028,35535,39789,32012,35559,39763,False
glutamate,neuron2,12596,22844147401,29358,29488,39753,39883,28734,28864,29423,39818,28799,29411,39797,28770,False
glutamate,neuron2,12596,26470476698,34199,34329,30088,30218,33246,33376,34264,30153,33311,34259,30148,33330,False
glutamate,neuron2,12596,20943,33686,33816,29917,30047,35697,35827,33751,29982,35762,33776,29955,35768,False
glutamate,neuron2,12596,100871,32300,32430,38301,38431,33401,33531,32365,38366,33466,32344,38368,33457,False
glutamate,neuron2,12596,15398,33416,33546,29695,29825,31531,31661,33481,29760,31596,33456,29759,31595,False
glutamate,neuron2,12596,18479,27097,27227,32316,32446,29839,29969,27162,32381,29904,27155,32360,29867,False
glutamate,neuron2,12596,12678,31404,31534,30880,31010,36496,36626,31469,30945,36561,31484,30917,36569,False
glutamate,neuron2,12596,15671,30083,30213,39900,40030,30758,30888,30148,39965,30823,30111,39989,30805,False
glutamate,neuron2,12596,29399395799,32144,32274,38247,38377,36449,36579,32209,38312,36514,32204,38329,36517,False
glutamate,neuron2,12596,17188,33566,33696,36512,36642,31364,31494,33631,36577,31429,33617,36562,31432,False
glutamate,neuron2,12596,11967,32422,32552,32316,32446,37678,37808,32487,32381,37743,32460,32359,37742,False
glutamate,neuron2,12596,12568,29868,29998,34821,34951,32847,32977,29933,34886,32912,29897,34881,32899,False
glutamate,neuron2,12596,10186,29935,30065,40155,40285,31250,31380,30000,40220,31315,30008,40237,31325,False
glutamate,neuron2,12596,17188,30008,30138,33668,33798,36229,36359,30073,33733,36294,30062,33713,36314,False
glutamate,neuron2,12596,27729873337,34631,34761,34137,34267,34597,34727,34696,34202,34662,34709,34229,34638,False
glutamate,neuron2,12596,27333356995,30880,31010,35981,36111,34284,34414,30945,36046,34349,30938,36059,34362,False
glutamate,neuron2,12596,14456,30198,30328,39915,40045,29966,30096,30263,39980,30031,30272,39987,30006,False
glutamate,neuron2,12596,11945,35320,35450,32911,33041,35906,36036,35385,32976,35971,35410,32955,35993,False
glutamate,neuron2,12596,14980,29254,29384,30248,30378,29132,29262,29319,30313,29197,29304,30332,29212,False
glutamate,neuron2,12596,18479,29741,29871,39446,39576,30342,30472,29806,39511,30407,29813,39536,30401,False
glutamate,neuron2,12596,28171908451,32606,32736,38559,38689,34979,35109,32671,38624,35044,32640,38613,35023,False
glutamate,neuron2,12596,12028,30070,30200,40044,40174,30958,31088,30135,40109,31023,30147,40094,31029,False
glutamate,neuron2,12596,24970,27042,27172,39798,39928,27756,27886,27107,39863,27821,27139,39829,27830,False
glutamate,neuron2,12596,25674132095,28831,28961,33763,33893,31960,32090,28896,33828,32025,28895,33818,32062,False
glutamate,neuron2,12596,28547084316,35061,35191,33435,33565,35416,35546,35126,33500,35481,35115,33540,35486,False
glutamate,neuron2,12596,27744023664,34346,34476,35887,36017,34346,34476,34411,35952,34411,34416,35959,34428,False
glutamate,neuron2,12596,12067,32305,32435,36998,37128,37475,37605,32370,37063,37540,32376,37071,37524,False
glutamate,neuron2,12596,18594,32444,32574,37812,37942,37598,37728,32509,37877,37663,32505,37847,37694,False
glutamate,neuron2,12596,10542,31416,31546,30587,30717,34441,34571,31481,30652,34506,31472,30687,34489,False
glutamate,neuron2,12596,10537,34932,35062,33848,33978,35014,35144,34997,33913,35079,35018,33923,35084,False
glutamate,neuron2,12596,24874959850,33281,33411,36630,36760,30727,30857,33346,36695,30792,33344,36708,30817,False
glutamate,neuron2,12596,26105907122,31655,31785,36710,36840,32431,32561,31720,36775,32496,31726,36803,32503,False
glutamate,neuron2,12596,23664930589,30457,30587,39815,39945,29607,29737,30522,39880,29672,30547,39893,29668,False
glutamate,neuron2,12596,22023246737,27042,27172,39798,39928,27756,27886,27107,39863,27821,27072,39847,27835,False
glutamate,neuron2,12596,12067,31719,31849,35816,35946,37094,37224,31784,35881,37159,31766,35888,37146,False
glutamate,neuron2,12596,31840263221,31471,31601,35400,35530,39756,39886,31536,35465,39821,31513,35431,39820,False
glutamate,neuron2,12596,17188,30202,30332,28914,29044,30359,30489,30267,28979,30424,30268,28962,30441,False
glutamate,neuron2,12596,20455,35431,35561,31490,31620,35775,35905,35496,31555,35840,35529,31542,35817,False
glutamate,neuron2,12596,26950952008,25911,26041,40276,40406,33594,33724,25976,40341,33659,25976,40322,33688,False
glutamate,neuron2,12596,17559,32356,32486,35700,35830,38324,38454,32421,35765,38389,32442,35781,38398,False
glutamate,neuron2,12596,10412,32549,32679,33663,33793,37814,37944,32614,33728,37879,32639,33745,37882,False
glutamate,neuron2,12596,18594,33127,33257,37454,37584,33553,33683,33192,37519,33618,33182,37504,33626,False
glutamate,neuron2,12596,29763999281,35109,35239,31645,31775,37099,37229,35174,31710,37164,35200,31715,37164,False
glutamate,neuron2,12596,10972,32844,32974,29647,29777,35822,35952,32909,29712,35887,32890,29717,35900,False
glutamate,neuron2,12596,11395,32305,32435,36998,37128,37475,37605,32370,37063,37540,32354,37084,37542,False
glutamate,neuron2,12596,24482020474,29710,29840,39272,39402,30298,30428,29775,39337,30363,29787,39314,30365,False
glutamate,neuron3,17322,10072,32451,32581,36686,36816,37120,37250,32516,36751,37185,32508,36765,37196,False
glutamate,neuron3,17322,27743950238,33579,33709,36307,36437,34855,34985,33644,36372,34920,33614,36355,34928,False
glutamate,neuron3,17322,10146,31904,32034,34812,34942,33648,33778,31969,34877,33713,31988,34869,33726,False
glutamate,neuron3,17322,10745,31048,31178,39469,39599,31503,31633,31113,39534,31568,31090,39555,31569,False
glutamate,neuron3,17322,10072,32539,32669,34195,34325,36890,37020,32604,34260,36955,32611,34242,36966,False
glutamate,neuron3,17322,27687147041,31527,31657,28173,28303,34673,34803,31592,28238,34738,31576,28207,34738,False
glutamate,neuron3,17322,11109,30986,31116,29019,29149,33429,33559,31051,29084,33494,31025,29075,33503,False
glutamate,neuron3,17322,27740485391,34539,34669,35844,35974,34379,34509,34604,35909,34444,34619,35904,34428,False
glutamate,neuron3,17322,27323022009,34224,34354,34629,34759,34178,34308,34289,34694,34243,34280,34679,34261,False
glutamate,neuron3,17322,28957128126,31159,31289,33580,33710,36279,36409,31224,33645,36344,31253,33643,36344,False
glutamate,neuron3,17322,10072,30802,30932,29155,29285,34453,34583,30867,29220,34518,30845,29220,34511,False
glutamate,neuron3,17322,14480,33650,33780,30293,30423,33609,33739,33715,30358,33674,33725,30344,33650,False
glutamate,neuron3,17322,10431,34605,34735,30464,30594,37253,37383,34670,30529,37318,34690,30564,37328,False
glutamate,neuron3,17322,27694263025,31408,31538,29167,29297,34576,34706,31473,29232,34641,31484,29233,34627,False
glutamate,neuron3,17322,14424,30037,30167,30046,30176,29265,29395,30102,30111,29330,30113,30132,29349,False
glutamate,neuron3,17322,12678,31789,31919,36885,37015,36598,36728,31854,36950,36663,31837,36971,36648,False
glutamate,neuron3,17322,28522129050,32590,32720,30051,30181,35766,35896,32655,30116,35831,32645,30092,35794,False
glutamate,neuron3,17322,30202461817,32563,32693,35357,35487,37982,38112,32628,35422,38047,32625,35442,38037,False
glutamate,neuron3,17322,14424,32655,32785,34652,34782,38806,38936,32720,34717,38871,32707,34720,38887,False
glutamate,neuron3,17322,23993803568,29450,29580,27792,27922,30169,30299,29515,27857,30234,29489,27870,30225,False
glutamate,neuron3,17322,12241,31474,31604,28468,28598,34945,35075,31539,28533,35010,31513,28507,35007,False
glutamate,neuron3,17322,15184,31121,31251,34970,35100,35738,35868,31186,35035,35803,31198,35040,35817,False
glutamate,neuron3,17322,18360,30829,30959,28515,28645,31190,31320,30894,28580,31255,30868,28578,31247,False
glutamate,neuron3,17322,27754405293,31758,31888,37892,38022,34711,34841,31823,37957,34776,31814,37931,34785,False
glutamate,neuron3,17322,11309,32311,32441,35853,35983,37900,38030,32376,35918,37965,32401,35926,37953,False
glutamate,neuron3,17322,24464606661,33225,33355,36576,36706,30308,30438,33290,36641,30373,33303,36632,30408,False
glutamate,neuron3,17322,29760426279,34479,34609,31161,31291,37318,37448,34544,31226,37383,34562,31221,37401,False
glutamate,neuron3,17322,23243997476,31097,31227,38127,38257,28781,28911,31162,38192,28846,31160,38198,28868,False
glutamate,neuron3,17322,17781,33473,33603,37051,37181,34274,34404,33538,37116,34339,33568,37121,34351,False
glutamate,neuron3,17322,28957440128,34833,34963,33751,33881,35952,36082,34898,33816,36017,34932,33814,36040,False
glutamate,neuron3,17322,29367478390,31181,31311,33525,33655,36418,36548,31246,33590,36483,31255,33574,36481,False
glutamate,neuron3,17322,29388785751,31789,31919,36885,37015,36598,36728,31854,36950,36663,31842,36943,36653,False
glutamate,neuron3,17322,27705076225,34213,34343,30226,30356,34774,34904,34278,30291,34839,34258,30302,34823,False
glutamate,neuron3,17322,10822,32197,32327,38185,38315,33959,34089,32262,38250,34024,32227,38248,34038,False
glutamate,neuron3,17322,27319445176,33658,33788,34126,34256,34311,34441,33723,34191,34376,33706,34196,34389,False
glutamate,neuron3,17322,10146,32256,32386,38197,38327,33951,34081,32321,38262,34016,32299,38222,34010,False
glutamate,neuron3,17322,27337172642,34051,34181,36741,36871,34203,34333,34116,36806,34268,34115,36792,34278,False
glutamate,neuron3,17322,15649,32622,32752,38419,38549,36356,36486,32687,38484,36421,32689,38497,36396,False
glutamate,neuron3,17322,10072,32933,33063,33983,34113,37792,37922,32998,34048,37857,32983,34035,37860,False
glutamate,neuron3,17322,28147027886,31107,31237,35047,35177,34950,35080,31172,35112,35015,31149,35143,35041,False
glutamate,neuron3,17322,21127,34833,34963,30696,30826,37082,37212,34898,30761,37147,34911,30761,37121,False
glutamate,neuron3,17322,10630,32016,32146,36802,36932,37302,37432,32081,36867,37367,32066,36869,37374,False
glutamate,neuron3,17322,30202420532,31832,31962,35818,35948,37817,37947,31897,35883,37882,31898,35902,37897,False
glutamate,neuron3,17322,12678,31884,32014,38082,38212,33881,34011,31949,38147,33946,31949,38180,33964,False
glutamate,neuron3,17322,10678,32185,32315,31684,31814,36745,36875,32250,31749,36810,32266,31760,36833,False
glutamate,neuron3,17322,23140,31874,32004,33740,33870,32300,32430,31939,33805,32365,31930,33830,32348,False
glutamate,neuron3,17322,23435,30527,30657,29088,29218,30523,30653,30592,29153,30588,30578,29137,30574,False
glutamate,neuron3,17322,10072,33454,33584,37071,37201,34331,34461,33519,37136,34396,33531,37127,34408,False
glutamate,neuron3,17322,11109,32037,32167,33689,33819,32608,32738,32102,33754,32673,32080,33730,32687,False
glutamate,neuron3,17322,10547,34605,34735,30464,30594,37253,37383,34670,30529,37318,34685,30513,37297,False
glutamate,neuron4,19709,11248,18013,18143,20453,20583,24552,24682,18078,20518,24617,18095,20523,24620,False
glutamate,neuron4,19709,25123,22191,22321,21870,22000,29287,29417,22256,21935,29352,22243,21922,29349,False
glutamate,neuron4,19709,19836363809,18210,18340,20512,20642,24715,24845,18275,20577,24780,18283,20552,24799,False
glutamate,neuron4,19709,21896,21776,21906,25588,25718,35867,35997,21841,25653,35932,21840,25662,35917,False
glutamate,neuron4,19709,23540443846,21805,21935,21630,21760,29398,29528,21870,21695,29463,21869,21710,29445,False
glutamate,neuron4,19709,20646383660,17154,17284,18577,18707,25880,26010,17219,18642,25945,17257,18669,25946,False
glutamate,neuron4,19709,19187,18376,18506,21123,21253,20620,20750,18441,21188,20685,18455,21197,20680,False
glutamate,neuron4,19709,20646381821,17054,17184,18543,18673,25805,25935,17119,18608,25870,17110,18621,25842,False
glutamate,neuron4,19709,21744,20406,20536,21039,21169,26910,27040,20471,21104,26975,20482,21118,26955,False
glutamate,neuron4,19709,20243141922,17630,17760,19788,19918,25265,25395,17695,19853,25330,17688,19833,25340,False
glutamate,neuron4,19709,28899816560,21776,21906,25588,25718,35867,35997,21841,25653,35932,21845,25691,35960,False
glutamate,neuron4,19709,25119,21769,21899,21903,22033,29044,29174,21834,21968,29109,21816,21945,29113,False
glutamate,neuron4,19709,11668,19056,19186,21461,21591,22730,22860,19121,21526,22795,19121,21538,22811,False
glutamate,neuron4,19709,19187,18671,18801,21136,21266,23224,23354,18736,21201,23289,18717,21208,23262,False
glutamate,neuron4,19709,158467,18744,18874,21202,21332,23752,23882,18809,21267,23817,18811,21288,23833,False
glutamate,neuron4,19709,155772,18448,18578,21063,21193,22545,22675,18513,21128,22610,18509,21139,22585,False
glutamate,neuron4,19709,25119,18925,19055,20967,21097,24039,24169,18990,21032,24104,18970,21027,24105,False
glutamate,neuron4,19709,25602873704,22468,22598,23198,23328,32092,32222,22533,23263,32157,22524,23297,32178,False
glutamate,neuron4,19709,23130014980,20611,20741,21897,22027,29165,29295,20676,21962,29230,20684,21987,29269,False
glutamate,neuron4,19709,24368156576,20834,20964,22669,22799,30622,30752,20899,22734,30687,20907,22734,30708,False
glutamate,neuron4,19709,158467,18642,18772,21300,21430,24118,24248,18707,21365,24183,18693,21373,24171,False
glutamate,neuron4,19709,18612413344,18645,18775,21184,21314,23199,23329,18710,21249,23264,18715,21286,23239,False
glutamate,neuron4,19709,23544101723,23124,23254,22304,22434,29502,29632,23189,22369,29567,23193,22362,29588,False
glutamate,neuron4,19709,19832791473,17754,17884,19807,19937,25177,25307,17819,19872,25242,17839,19876,25263,False
glutamate,neuron4,19709,24996,19248,19378,21364,21494,22551,22681,19313,21429,22616,19318,21423,22633,False
glutamate,neuron4,19709,11378,17062,17192,18573,18703,25685,25815,17127,18638,25750,17131,18653,25720,False
glutamate,neuron4,19709,14520,18941,19071,20954,21084,23956,24086,19006,21019,24021,19030,20998,23997,False
glutamate,neuron4,19709,11668,18448,18578,21063,21193,22545,22675,18513,21128,22610,18531,21149,22592,False
glutamate,neuron4,19709,25287,20690,20820,21895,22025,29147,29277,20755,21960,29212,20761,21974,29191,False
glutamate,neuron4,19709,157432,17946,18076,20432,20562,24575,24705,18011,20497,24640,17989,20508,24635,False
glutamate,neuron4,19709,20657238268,20040,20170,20004,20134,26144,26274,20105,20069,26209,20105,20037,26232,False
glutamate,neuron4,19709,25199,18848,18978,21211,21341,23006,23136,18913,21276,23071,18926,21270,23082,False
glutamate,neuron4,19709,17784631115,18619,18749,20414,20544,22312,22442,18684,20479,22377,18692,20453,22361,False
glutamate,neuron4,19709,24364774536,22995,23125,22563,22693,30823,30953,23060,22628,30888,23065,22626,30921,False
glutamate,neuron4,19709,22309262025,20367,20497,21672,21802,27946,28076,20432,21737,28011,20411,21750,28016,False
glutamate,neuron4,19709,11668,21187,21317,22912,23042,31038,31168,21252,22977,31103,21265,22968,31084,False
glutamate,neuron4,19709,24778545720,21149,21279,22913,23043,30960,31090,21214,22978,31025,21226,22990,31018,False
glutamate,neuron4,19709,25602875473,22349,22479,23237,23367,32198,32328,22414,23302,32263,22418,23309,32280,False
glutamate,neuron4,19709,20232495839,17062,17192,18573,18703,25685,25815,17127,18638,25750,17114,18639,25737,False
glutamate,neuron4,19709,24361230208,22800,22930,21760,21890,30222,30352,22865,21825,30287,22847,21851,30296,False
glutamate,neuron4,19709,21744,20860,20990,22622,22752,30518,30648,20925,22687,30583,20949,22685,30602,False
glutamate,neuron4,19709,20239570797,17354,17484,19088,19218,25624,25754,17419,19153,25689,17416,19183,25683,False
glutamate,neuron4,19709,23950688395,20834,20964,22669,22799,30622,30752,20899,22734,30687,20896,22722,30702,False
glutamate,neuron4,19709,11668,18265,18395,20677,20807,25037,25167,18330,20742,25102,18327,20760,25085,False
glutamate,neuron4,19709,22719656323,20752,20882,21858,21988,28314,28444,20817,21923,28379,20800,21921,28385,False
glutamate,neuron4,19709,159125,20908,21038,22756,22886,30504,30634,20973,22821,30569,20990,22814,30570,False
glutamate,neuron4,19709,23544100984,23264,23394,22226,22356,29480,29610,23329,22291,29545,23301,22256,29530,False
glutamate,neuron4,19709,23950880756,22715,22845,21742,21872,30200,30330,22780,21807,30265,22766,21801,30235,False
glutamate,neuron4,19709,20646381684,17066,17196,18493,18623,25862,25992,17131,18558,25927,17102,18593,25893,False
glutamate,neuron4,19709,25602873766,22317,22447,23345,23475,32150,32280,22382,23410,32215,22401,23432,32213,False
glutamate,neuron5,15200,24409,33312,33442,30608,30738,35329,35459,33377,30673,35394,33371,30665,35373,False
glutamate,neuron5,15200,10680,28910,29040,35072,35202,32477,32607,28975,35137,32542,28943,35110,32551,False
glutamate,neuron5,15200,101118,32424,32554,33448,33578,37795,37925,32489,33513,37860,32473,33505,37864,False
glutamate,neuron5,15200,24011408531,28065,28195,30274,30404,29809,29939,28130,30339,29874,28152,30348,29906,False
glutamate,neuron5,15200,24411266624,29375,29505,28761,28891,30224,30354,29440,28826,30289,29471,28820,30288,False
glutamate,neuron5,15200,15710,28964,29094,28239,28369,30801,30931,29029,28304,30866,29053,28290,30857,False
glutamate,neuron5,15200,26466738533,32232,32362,29517,29647,33539,33669,32297,29582,33604,32297,29563,33612,False
glutamate,neuron5,15200,25263776570,28810,28940,33914,34044,31423,31553,28875,33979,31488,28845,33979,31471,False
glutamate,neuron5,15200,11623,32415,32545,33523,33653,37894,38024,32480,33588,37959,32441,33590,37973,False
glutamate,neuron5,15200,28129616981,34575,34705,32571,32701,35072,35202,34640,32636,35137,34652,32644,35147,False
glutamate,neuron5,15200,10461,33861,33991,30874,31004,34647,34777,33926,30939,34712,33910,30942,34713,False
glutamate,neuron5,15200,26930035520,30080,30210,37242,37372,33501,33631,30145,37307,33566,30141,37287,33528,False
glutamate,neuron5,15200,24421842397,28952,29082,30591,30721,30424,30554,29017,30656,30489,29014,30682,30475,False
glutamate,neuron5,15200,28529322129,33943,34073,30989,31119,35864,35994,34008,31054,35929,34043,31038,35924,False
glutamate,neuron5,15200,26930036516,30080,30210,37242,37372,33501,33631,30145,37307,33566,30161,37310,33574,False
glutamate,neuron5,15200,100855,28387,28517,29954,30084,30222,30352,28452,30019,30287,28470,30041,30280,False
glutamate,neuron5,15200,12769,28289,28419,29661,29791,30110,30240,28354,29726,30175,28334,29713,30187,False
glutamate,neuron5,15200,22095,29064,29194,28106,28236,30746,30876,29129,28171,30811,29143,28155,30790,False
glutamate,neuron5,15200,27287409839,31153,31283,29484,29614,34357,34487,31218,29549,34422,31253,29545,34435,False
glutamate,neuron5,15200,171493,29948,30078,27637,27767,31625,31755,30013,27702,31690,30030,27707,31669,False
glutamate,neuron5,15200,101118,33191,33321,31078,31208,37406,37536,33256,31143,37471,33242,31132,37470,False
glutamate,neuron5,15200,14423,34299,34429,33574,33704,31884,32014,34364,33639,31949,34350,33648,31966,False
glutamate,neuron5,15200,18308,32217,32347,32913,33043,37995,38125,32282,32978,38060,32297,32971,38056,False
glutamate,neuron5,15200,28529323614,33943,34073,30989,31119,35864,35994,34008,31054,35929,34012,31043,35912,False
glutamate,neuron5,15200,27291060055,32313,32443,30015,30145,33869,33999,32378,30080,33934,32349,30067,33957,False
glutamate,neuron5,15200,12769,31323,31453,29544,29674,33609,33739,31388,29609,33674,31378,29596,33666,False
glutamate,neuron5,15200,27705078496,33780,33910,30788,30918,34822,34952,33845,30853,34887,33837,30828,34923,False
glutamate,neuron5,15200,10146,32445,32575,29276,29406,34622,34752,32510,29341,34687,32480,29335,34705,False
glutamate,neuron5,15200,30612735228,31588,31718,35475,35605,38323,38453,31653,35540,38388,31663,35571,38406,False
glutamate,neuron5,15200,176857,29683,29813,28136,28266,30888,31018,29748,28201,30953,29721,28192,30929,False
glutamate,neuron5,15200,15671,30361,30491,27595,27725,31952,32082,30426,27660,32017,30435,27649,32029,False
glutamate,neuron5,15200,28108275940,32857,32987,29311,29441,35254,35384,32922,29376,35319,32907,29381,35309,False
glutamate,neuron5,15200,24404160045,29096,29226,28286,28416,30772,30902,29161,28351,30837,29139,28338,30807,False
glutamate,neuron5,15200,100855,34161,34291,30272,30402,34491,34621,34226,30337,34556,34241,30337,34566,False
glutamate,neuron5,15200,11623,32686,32816,29855,29985,34299,34429,32751,29920,34364,32764,29914,34348,False
glutamate,neuron5,15200,27287409708,31153,31283,29484,29614,34357,34487,31218,29549,34422,31251,29547,34397,False
glutamate,neuron5,15200,15630,34482,34612,32540,32670,35000,35130,34547,32605,35065,34542,32571,35074,False
glutamate,neuron5,15200,22095,28813,28943,28799,28929,30160,30290,28878,28864,30225,28856,28852,30230,False
glutamate,neuron5,15200,101658,29611,29741,28477,28607,30465,30595,29676,28542,30530,29703,28532,30522,False
glutamate,neuron5,15200,15798,29375,29505,28761,28891,30224,30354,29440,28826,30289,29434,28839,30274,False
glutamate,neuron5,15200,27708611549,33861,33991,30874,31004,34647,34777,33926,30939,34712,33911,30918,34700,False
glutamate,neuron5,15200,27697880316,32445,32575,29276,29406,34622,34752,32510,29341,34687,32515,29351,34699,False
glutamate,neuron5,15200,101114,27992,28122,30237,30367,29661,29791,28057,30302,29726,28055,30283,29713,False
glutamate,neuron5,15200,11529,30256,30386,37312,37442,33624,33754,30321,37377,33689,30330,37343,33697,False
glutamate,neuron5,15200,24432419244,28196,28326,31985,32115,30613,30743,28261,32050,30678,28279,32053,30672,False
glutamate,neuron5,15200,31023086301,31534,31664,35522,35652,38412,38542,31599,35587,38477,31581,35568,38497,False
glutamate,neuron5,15200,15398,33565,33695,30514,30644,35758,35888,33630,30579,35823,33613,30579,35836,False
glutamate,neuron5,15200,23671,30611,30741,37561,37691,33666,33796,30676,37626,33731,30697,37627,33737,False
glutamate,neuron5,15200,17868,28531,28661,29399,29529,30126,30256,28596,29464,30191,28611,29471,30152,False
glutamate,neuron5,15200,18308,34543,34673,32757,32887,35162,35292,34608,32822,35227,34608,32800,35251,False
